Program "PAW_quantitative_report.py" run on Sun Oct 15 16:01:44 2017

	=SUBTOTAL(109,B5:B4441)													Total	Total	Total	Total	Unique	Unique	Unique	Unique	Corrected	Corrected	Corrected	Corrected
852	1	sp|P28740|KIF2A_MOUSE	 	 	 	 	3.4	705	79755	Kinesin-like protein KIF2A OS=Mus musculus GN=Kif2a PE=1 SV=2	6	6	1.000	3	1	1	1	3	1	1	1	3.000	1.000	1.000	1.000
853	1	sp|P28741|KIF3A_MOUSE	 	 	sp|B1AVY7|KI16B_MOUSE, sp|P28741|KIF3A_MOUSE	 	6.6	701	80169	Kinesin-like protein KIF3A OS=Mus musculus GN=Kif3a PE=1 SV=2	11	9	0.818	3	3	2	3	3	3	1	2	3.000	3.000	1.500	2.667
854	1	sp|P28828|PTPRM_MOUSE	 	 	 	 	11.0	1452	163652	Receptor-type tyrosine-protein phosphatase mu OS=Mus musculus GN=Ptprm PE=1 SV=2	19	19	1.000	4	7	5	3	4	7	5	3	4.000	7.000	5.000	3.000
855	1	sp|P28843|DPP4_MOUSE	 	 	 	 	34.2	760	87436	Dipeptidyl peptidase 4 OS=Mus musculus GN=Dpp4 PE=1 SV=3	86	86	1.000	25	22	19	20	25	22	19	20	25.000	22.000	19.000	20.000
856	1	sp|P28867|KPCD_MOUSE	 	 	sp|P16054|KPCE_MOUSE, sp|P20444|KPCA_MOUSE, sp|P28867|KPCD_MOUSE	 	11.9	674	77546	Protein kinase C delta type OS=Mus musculus GN=Prkcd PE=1 SV=3	15	14	0.933	2	6	4	3	2	6	3	3	2.000	6.000	3.500	3.000
857	1	sp|P29341|PABP1_MOUSE	 	 	 	 	39.2	636	70670	Polyadenylate-binding protein 1 OS=Mus musculus GN=Pabpc1 PE=1 SV=2	106	106	1.000	26	25	30	25	26	25	30	25	26.000	25.000	30.000	25.000
858	1	sp|P29351|PTN6_MOUSE	 	 	 	 	29.9	595	67558	Tyrosine-protein phosphatase non-receptor type 6 OS=Mus musculus GN=Ptpn6 PE=1 SV=2	53	53	1.000	14	15	13	11	14	15	13	11	14.000	15.000	13.000	11.000
859	1	sp|P29387|GBB4_MOUSE	 	 	sp|P29387|GBB4_MOUSE, sp|P62874|GBB1_MOUSE, sp|P62880|GBB2_MOUSE, sp|Q61011|GBB3_MOUSE	 	22.6	340	37379	Guanine nucleotide-binding protein subunit beta-4 OS=Mus musculus GN=Gnb4 PE=1 SV=4	43	5	0.116	13	12	10	8	1	2	1	1	1.753	2.637	1.682	1.511
860	1	sp|P29391|FRIL1_MOUSE	 	 	 	 	59.6	183	20802	Ferritin light chain 1 OS=Mus musculus GN=Ftl1 PE=1 SV=2	99	99	1.000	24	25	23	27	24	25	23	27	24.000	25.000	23.000	27.000
861	1	sp|P29416|HEXA_MOUSE	 	 	 	 	23.5	528	60612	Beta-hexosaminidase subunit alpha OS=Mus musculus GN=Hexa PE=1 SV=2	31	31	1.000	9	11	5	6	9	11	5	6	9.000	11.000	5.000	6.000
862	1	sp|P29452|CASP1_MOUSE	 	 	 	 	25.9	402	45640	Caspase-1 OS=Mus musculus GN=Casp1 PE=1 SV=1	34	34	1.000	10	10	9	5	10	10	9	5	10.000	10.000	9.000	5.000
863	1	sp|P29533|VCAM1_MOUSE	 	 	 	 	8.7	739	81317	Vascular cell adhesion protein 1 OS=Mus musculus GN=Vcam1 PE=1 SV=1	8	8	1.000	2	1	4	1	2	1	4	1	2.000	1.000	4.000	1.000
864	1	sp|P29621|SPA3C_MOUSE	 	 	sp|P07759|SPA3K_MOUSE, sp|P29621|SPA3C_MOUSE, sp|Q03734|SPA3M_MOUSE, sp|Q91WP6|SPA3N_MOUSE	 	28.5	417	46765	Serine protease inhibitor A3C OS=Mus musculus GN=Serpina3c PE=2 SV=1	117	18	0.154	38	26	28	25	5	5	5	3	6.081	6.360	5.926	4.028
865	1	sp|P29699|FETUA_MOUSE	 	 	 	 	55.1	345	37325	Alpha-2-HS-glycoprotein OS=Mus musculus GN=Ahsg PE=1 SV=1	154	154	1.000	40	39	36	39	40	39	36	39	40.000	39.000	36.000	39.000
866	1	sp|P29758|OAT_MOUSE	 	 	 	 	55.8	439	48354	Ornithine aminotransferase, mitochondrial OS=Mus musculus GN=Oat PE=1 SV=1	108	108	1.000	24	33	25	26	24	33	25	26	24.000	33.000	25.000	26.000
867	1	sp|P29788|VTNC_MOUSE	 	 	 	 	20.3	478	54848	Vitronectin OS=Mus musculus GN=Vtn PE=1 SV=2	48	48	1.000	11	13	9	15	11	13	9	15	11.000	13.000	9.000	15.000
868	1	sp|P30115|GSTA3_MOUSE	 	 	sp|P10648|GSTA2_MOUSE, sp|P13745|GSTA1_MOUSE, sp|P24472|GSTA4_MOUSE, sp|P30115|GSTA3_MOUSE	 	38.9	221	25360	Glutathione S-transferase A3 OS=Mus musculus GN=Gsta3 PE=1 SV=2	88	84	0.955	22	23	28	15	21	22	26	15	22.000	22.957	27.867	15.000
869	1	sp|P30285|CDK4_MOUSE	 	 	sp|P08103|HCK_MOUSE, sp|P25911|LYN_MOUSE, sp|P30285|CDK4_MOUSE, sp|P39688|FYN_MOUSE, sp|P49615|CDK5_MOUSE, sp|P97377|CDK2_MOUSE, sp|Q04735|CDK16_MOUSE, sp|Q04736|YES_MOUSE, sp|Q64261|CDK6_MOUSE, sp|Q8K0D0|CDK17_MOUSE, sp|Q99J95|CDK9_MOUSE	 	31.7	303	33750	Cyclin-dependent kinase 4 OS=Mus musculus GN=Cdk4 PE=1 SV=1	30	23	0.767	10	7	7	6	8	5	5	5	8.387	5.387	5.387	5.193
870	1	sp|P30355|AL5AP_MOUSE	 	 	 	 	12.4	161	18136	Arachidonate 5-lipoxygenase-activating protein OS=Mus musculus GN=Alox5ap PE=1 SV=2	5	5	1.000	1	2	2	0	1	2	2	0	1.000	2.000	2.000	0.000
871	1	sp|P30412|PPIC_MOUSE	 	 	 	 	38.7	212	22794	Peptidyl-prolyl cis-trans isomerase C OS=Mus musculus GN=Ppic PE=1 SV=1	39	39	1.000	10	7	10	12	10	7	10	12	10.000	7.000	10.000	12.000
872	1	sp|P30416|FKBP4_MOUSE	 	 	 	 	49.1	458	51572	Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Mus musculus GN=Fkbp4 PE=1 SV=5	77	77	1.000	19	19	20	19	19	19	20	19	19.000	19.000	20.000	19.000
873	1	sp|P30681|HMGB2_MOUSE	 	 	sp|O54879|HMGB3_MOUSE, sp|P30681|HMGB2_MOUSE	 	36.2	210	24162	High mobility group protein B2 OS=Mus musculus GN=Hmgb2 PE=1 SV=3	20	14	0.700	5	4	5	6	3	3	4	4	4.000	3.750	4.667	5.600
874	1	sp|P30933|SVS5_MOUSE	 	 	 	 	42.6	122	13019	Seminal vesicle secretory protein 5 OS=Mus musculus GN=Svs5 PE=2 SV=1	53	53	1.000	20	10	11	12	20	10	11	12	20.000	10.000	11.000	12.000
875	1	sp|P30999|CTND1_MOUSE	 	 	 	 	15.8	938	104924	Catenin delta-1 OS=Mus musculus GN=Ctnnd1 PE=1 SV=2	31	31	1.000	9	6	8	8	9	6	8	8	9.000	6.000	8.000	8.000
876	1	sp|P31001|DESM_MOUSE	 	 	CONT_073|gi|87303|pir||JS0487, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, sp|P11679|K2C8_MOUSE, sp|P15331|PERI_MOUSE, sp|P19246|NFH_MOUSE, sp|P20152|VIME_MOUSE, sp|P31001|DESM_MOUSE, sp|Q9DCV7|K2C7_MOUSE	 	51.2	469	53497	Desmin OS=Mus musculus GN=Des PE=1 SV=3	153	80	0.523	39	38	34	42	20	23	14	23	21.258	23.998	15.317	24.250
877	1	sp|P31230|AIMP1_MOUSE	 	 	 	 	54.2	310	33997	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Mus musculus GN=Aimp1 PE=1 SV=2	49	49	1.000	12	12	13	12	12	12	13	12	12.000	12.000	13.000	12.000
878	1	sp|P31266|SUH_MOUSE	 	 	 	 	5.1	526	58537	Recombining binding protein suppressor of hairless OS=Mus musculus GN=Rbpj PE=1 SV=1	2	2	1.000	0	0	2	0	0	0	2	0	0.000	0.000	2.000	0.000
879	1	sp|P31324|KAP3_MOUSE	 	 	sp|P12367|KAP2_MOUSE, sp|P31324|KAP3_MOUSE	 	72.4	416	46167	cAMP-dependent protein kinase type II-beta regulatory subunit OS=Mus musculus GN=Prkar2b PE=1 SV=3	240	217	0.904	61	61	57	61	57	54	52	54	60.257	59.478	55.824	59.478
880	1	sp|P31428|DPEP1_MOUSE	 	 	 	 	41.0	410	45722	Dipeptidase 1 OS=Mus musculus GN=Dpep1 PE=1 SV=2	63	63	1.000	16	18	17	12	16	18	17	12	16.000	18.000	17.000	12.000
881	1	sp|P31532|SAA4_MOUSE	 	 	 	 	26.9	130	15088	Serum amyloid A-4 protein OS=Mus musculus GN=Saa4 PE=1 SV=2	9	9	1.000	3	3	2	1	3	3	2	1	3.000	3.000	2.000	1.000
882	1	sp|P31649|S6A13_MOUSE	 	 	 	 	8.8	602	68284	Sodium- and chloride-dependent GABA transporter 2 OS=Mus musculus GN=Slc6a13 PE=1 SV=1	7	7	1.000	0	0	4	3	0	0	4	3	0.000	0.000	4.000	3.000
883	1	sp|P31750|AKT1_MOUSE	 	 	sp|P31750|AKT1_MOUSE, sp|Q60823|AKT2_MOUSE, sp|Q8BSK8|KS6B1_MOUSE	 	35.6	480	55707	RAC-alpha serine/threonine-protein kinase OS=Mus musculus GN=Akt1 PE=1 SV=2	30	16	0.533	8	9	6	7	5	5	3	3	5.961	6.176	3.588	3.788
884	1	sp|P31786|ACBP_MOUSE	 	 	 	 	49.4	87	10000	Acyl-CoA-binding protein OS=Mus musculus GN=Dbi PE=1 SV=2	57	57	1.000	19	12	13	13	19	12	13	13	19.000	12.000	13.000	13.000
885	1	sp|P31938|MP2K1_MOUSE	 	 	sp|P31938|MP2K1_MOUSE, sp|Q63932|MP2K2_MOUSE	 	29.3	393	43474	Dual specificity mitogen-activated protein kinase kinase 1 OS=Mus musculus GN=Map2k1 PE=1 SV=2	43	32	0.744	11	10	9	13	7	6	8	11	10.111	9.000	8.727	12.692
886	1	sp|P32020|NLTP_MOUSE	 	 	 	 	38.9	547	59125	Non-specific lipid-transfer protein OS=Mus musculus GN=Scp2 PE=1 SV=3	224	224	1.000	57	58	55	54	57	58	55	54	57.000	58.000	55.000	54.000
887	1	sp|P32037|GTR3_MOUSE	 	 	 	 	11.8	493	53478	Solute carrier family 2, facilitated glucose transporter member 3 OS=Mus musculus GN=Slc2a3 PE=1 SV=1	27	27	1.000	4	11	4	8	4	11	4	8	4.000	11.000	4.000	8.000
888	1	sp|P32067|LA_MOUSE	 	 	 	 	35.4	415	47756	Lupus La protein homolog OS=Mus musculus GN=Ssb PE=1 SV=1	62	62	1.000	13	17	16	16	13	17	16	16	13.000	17.000	16.000	16.000
889	1	sp|P32233|DRG1_MOUSE	 	 	 	 	25.9	367	40512	Developmentally-regulated GTP-binding protein 1 OS=Mus musculus GN=Drg1 PE=1 SV=1	29	29	1.000	5	7	7	10	5	7	7	10	5.000	7.000	7.000	10.000
890	1	sp|P32261|ANT3_MOUSE	 	 	 	 	46.7	465	52003	Antithrombin-III OS=Mus musculus GN=Serpinc1 PE=1 SV=1	177	177	1.000	44	43	42	48	44	43	42	48	44.000	43.000	42.000	48.000
891	1	sp|P32848|PRVA_MOUSE	 	 	 	 	51.8	110	11930	Parvalbumin alpha OS=Mus musculus GN=Pvalb PE=1 SV=3	11	11	1.000	5	3	1	2	5	3	1	2	5.000	3.000	1.000	2.000
892	1	sp|P32883|RASK_MOUSE	 	 	sp|P08556|RASN_MOUSE, sp|P32883|RASK_MOUSE, sp|Q61411|RASH_MOUSE	 	59.8	189	21656	GTPase KRas OS=Mus musculus GN=Kras PE=1 SV=1	20	5	0.250	6	4	3	7	1	1	1	2	4.000	4.000	2.000	6.000
893	1	sp|P32921|SYWC_MOUSE	 	 	 	 	42.2	481	54357	Tryptophan--tRNA ligase, cytoplasmic OS=Mus musculus GN=Wars PE=1 SV=2	89	89	1.000	21	23	21	24	21	23	21	24	21.000	23.000	21.000	24.000
895	1	sp|P33434|MMP2_MOUSE	 	 	 	 	8.6	662	74102	72 kDa type IV collagenase OS=Mus musculus GN=Mmp2 PE=1 SV=1	5	5	1.000	1	1	2	1	1	1	2	1	1.000	1.000	2.000	1.000
896	1	sp|P33587|PROC_MOUSE	 	 	 	 	17.2	460	51818	Vitamin K-dependent protein C OS=Mus musculus GN=Proc PE=1 SV=2	15	15	1.000	5	3	4	3	5	3	4	3	5.000	3.000	4.000	3.000
897	1	sp|P33622|APOC3_MOUSE	 	 	 	 	38.4	99	10982	Apolipoprotein C-III OS=Mus musculus GN=Apoc3 PE=1 SV=2	11	11	1.000	3	2	3	3	3	2	3	3	3.000	2.000	3.000	3.000
898	1	sp|P34022|RANG_MOUSE	 	 	 	 	40.4	203	23596	Ran-specific GTPase-activating protein OS=Mus musculus GN=Ranbp1 PE=1 SV=2	34	34	1.000	8	7	9	10	8	7	9	10	8.000	7.000	9.000	10.000
899	1	sp|P34152|FAK1_MOUSE	 	 	sp|P34152|FAK1_MOUSE, sp|P70694|DHB5_MOUSE, sp|Q9QVP9|FAK2_MOUSE	 	5.0	1090	123535	Focal adhesion kinase 1 OS=Mus musculus GN=Ptk2 PE=1 SV=3	10	5	0.500	2	3	3	2	1	2	1	1	1.091	2.400	1.229	1.200
900	1	sp|P34884|MIF_MOUSE	 	 	 	 	38.3	115	12504	Macrophage migration inhibitory factor OS=Mus musculus GN=Mif PE=1 SV=2	41	41	1.000	14	9	12	6	14	9	12	6	14.000	9.000	12.000	6.000
901	1	sp|P34914|HYES_MOUSE	 	 	 	 	65.9	554	62515	Bifunctional epoxide hydrolase 2 OS=Mus musculus GN=Ephx2 PE=1 SV=2	316	316	1.000	80	89	79	68	80	89	79	68	80.000	89.000	79.000	68.000
902	1	sp|P35123|UBP4_MOUSE	 	 	sp|P35123|UBP4_MOUSE, sp|Q8R5H1|UBP15_MOUSE	 	17.2	962	108342	Ubiquitin carboxyl-terminal hydrolase 4 OS=Mus musculus GN=Usp4 PE=1 SV=3	40	35	0.875	10	9	11	10	9	8	9	9	9.562	8.500	10.059	9.450
903	1	sp|P35235|PTN11_MOUSE	 	 	 	 	57.5	597	68460	Tyrosine-protein phosphatase non-receptor type 11 OS=Mus musculus GN=Ptpn11 PE=1 SV=2	107	107	1.000	23	25	29	30	23	25	29	30	23.000	25.000	29.000	30.000
904	1	sp|P35276|RAB3D_MOUSE	 	 	sp|O35963|RB33B_MOUSE, sp|P35276|RAB3D_MOUSE, sp|P35279|RAB6A_MOUSE, sp|P35283|RAB12_MOUSE, sp|P55258|RAB8A_MOUSE, sp|P61027|RAB10_MOUSE, sp|P61028|RAB8B_MOUSE, sp|P62821|RAB1A_MOUSE, sp|P63011|RAB3A_MOUSE, sp|Q6PHN9|RAB35_MOUSE, sp|Q8CG50|RAB43_MOUSE, sp|Q91V41|RAB14_MOUSE, sp|Q91ZR1|RAB4B_MOUSE, sp|Q9D1G1|RAB1B_MOUSE, sp|Q9DD03|RAB13_MOUSE	 	45.2	219	24416	Ras-related protein Rab-3D OS=Mus musculus GN=Rab3d PE=1 SV=1	71	19	0.268	17	18	20	16	3	5	6	5	10.405	10.142	11.501	7.823
905	1	sp|P35278|RAB5C_MOUSE	 	 	sp|P35278|RAB5C_MOUSE, sp|P61021|RAB5B_MOUSE, sp|Q9CQD1|RAB5A_MOUSE	 	53.2	216	23412	Ras-related protein Rab-5C OS=Mus musculus GN=Rab5c PE=1 SV=2	51	27	0.529	10	15	13	13	5	8	7	7	6.923	11.500	9.100	9.471
906	1	sp|P35279|RAB6A_MOUSE	 	 	sp|O35963|RB33B_MOUSE, sp|P35276|RAB3D_MOUSE, sp|P35279|RAB6A_MOUSE, sp|P35283|RAB12_MOUSE, sp|P55258|RAB8A_MOUSE, sp|P61027|RAB10_MOUSE, sp|P61028|RAB8B_MOUSE, sp|P62821|RAB1A_MOUSE, sp|P63011|RAB3A_MOUSE, sp|Q6PHN9|RAB35_MOUSE, sp|Q8CG50|RAB43_MOUSE, sp|Q91V41|RAB14_MOUSE, sp|Q91ZR1|RAB4B_MOUSE, sp|Q9D1G1|RAB1B_MOUSE	 	31.2	208	23590	Ras-related protein Rab-6A OS=Mus musculus GN=Rab6a PE=1 SV=4	41	14	0.341	9	7	13	12	4	0	6	4	4.206	0.289	6.289	4.330
907	1	sp|P35282|RAB21_MOUSE	 	 	 	 	20.7	222	24106	Ras-related protein Rab-21 OS=Mus musculus GN=Rab21 PE=1 SV=4	35	35	1.000	9	10	7	9	9	10	7	9	9.000	10.000	7.000	9.000
908	1	sp|P35283|RAB12_MOUSE	 	 	sp|O35963|RB33B_MOUSE, sp|P35276|RAB3D_MOUSE, sp|P35279|RAB6A_MOUSE, sp|P35283|RAB12_MOUSE, sp|P55258|RAB8A_MOUSE, sp|P61027|RAB10_MOUSE, sp|P61028|RAB8B_MOUSE, sp|P62821|RAB1A_MOUSE, sp|P63011|RAB3A_MOUSE, sp|Q6PHN9|RAB35_MOUSE, sp|Q8CG50|RAB43_MOUSE, sp|Q91V41|RAB14_MOUSE, sp|Q91ZR1|RAB4B_MOUSE, sp|Q9D1G1|RAB1B_MOUSE	 	49.8	243	27328	Ras-related protein Rab-12 OS=Mus musculus GN=Rab12 PE=1 SV=3	53	26	0.491	14	14	12	13	9	7	5	5	9.383	7.537	5.537	5.614
909	1	sp|P35285|RB22A_MOUSE	 	 	sp|P35285|RB22A_MOUSE, sp|Q921E2|RAB31_MOUSE	 	38.7	194	21802	Ras-related protein Rab-22A OS=Mus musculus GN=Rab22a PE=1 SV=2	21	17	0.810	7	6	5	3	6	5	4	2	7.000	5.714	4.667	2.500
910	1	sp|P35288|RAB23_MOUSE	 	 	 	 	38.4	237	26678	Ras-related protein Rab-23 OS=Mus musculus GN=Rab23 PE=1 SV=2	26	26	1.000	6	4	8	8	6	4	8	8	6.000	4.000	8.000	8.000
911	1	sp|P35290|RAB24_MOUSE	 	 	 	 	25.1	203	23144	Ras-related protein Rab-24 OS=Mus musculus GN=Rab24 PE=1 SV=2	9	9	1.000	2	2	2	3	2	2	2	3	2.000	2.000	2.000	3.000
912	1	sp|P35293|RAB18_MOUSE	 	 	 	 	60.7	206	23035	Ras-related protein Rab-18 OS=Mus musculus GN=Rab18 PE=1 SV=2	63	63	1.000	15	17	16	15	15	17	16	15	15.000	17.000	16.000	15.000
913	1	sp|P35441|TSP1_MOUSE	 	 	 	 	36.0	1170	129646	Thrombospondin-1 OS=Mus musculus GN=Thbs1 PE=1 SV=1	143	143	1.000	33	40	36	34	33	40	36	34	33.000	40.000	36.000	34.000
914	1	sp|P35486|ODPA_MOUSE	 	 	 	 	62.6	390	43231	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Mus musculus GN=Pdha1 PE=1 SV=1	126	126	1.000	38	28	27	33	38	28	27	33	38.000	28.000	27.000	33.000
915	1	sp|P35487|ODPAT_MOUSE	 	 	 	 	29.9	391	43412	Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial OS=Mus musculus GN=Pdha2 PE=1 SV=1	30	30	1.000	6	13	5	6	6	13	5	6	6.000	13.000	5.000	6.000
916	1	sp|P35492|HUTH_MOUSE	 	 	 	 	36.8	657	72257	Histidine ammonia-lyase OS=Mus musculus GN=Hal PE=1 SV=1	86	86	1.000	21	20	20	25	21	20	20	25	21.000	20.000	20.000	25.000
917	1	sp|P35505|FAAA_MOUSE	 	 	 	 	59.4	419	46175	Fumarylacetoacetase OS=Mus musculus GN=Fah PE=1 SV=2	125	125	1.000	31	30	29	35	31	30	29	35	31.000	30.000	29.000	35.000
918	1	sp|P35550|FBRL_MOUSE	 	 	 	 	13.5	327	34306	rRNA 2'-O-methyltransferase fibrillarin OS=Mus musculus GN=Fbl PE=1 SV=2	10	10	1.000	2	5	1	2	2	5	1	2	2.000	5.000	1.000	2.000
919	1	sp|P35564|CALX_MOUSE	 	 	 	 	44.7	591	67277	Calnexin OS=Mus musculus GN=Canx PE=1 SV=1	126	126	1.000	26	32	34	34	26	32	34	34	26.000	32.000	34.000	34.000
920	1	sp|P35585|AP1M1_MOUSE	 	 	sp|P35585|AP1M1_MOUSE, sp|Q9WVP1|AP1M2_MOUSE	 	42.1	423	48542	AP-1 complex subunit mu-1 OS=Mus musculus GN=Ap1m1 PE=1 SV=3	48	42	0.875	14	10	9	15	13	9	7	13	14.000	9.900	9.000	15.000
921	1	sp|P35700|PRDX1_MOUSE	 	 	sp|O08807|PRDX4_MOUSE, sp|P35700|PRDX1_MOUSE	 	63.3	199	22176	Peroxiredoxin-1 OS=Mus musculus GN=Prdx1 PE=1 SV=1	298	251	0.842	84	70	78	66	72	57	65	57	83.368	69.148	77.246	65.016
922	1	sp|P35762|CD81_MOUSE	 	 	 	 	17.8	236	25814	CD81 antigen OS=Mus musculus GN=Cd81 PE=1 SV=2	22	22	1.000	5	4	6	7	5	4	6	7	5.000	4.000	6.000	7.000
923	1	sp|P35802|GPM6A_MOUSE	 	 	 	 	7.6	278	31149	Neuronal membrane glycoprotein M6-a OS=Mus musculus GN=Gpm6a PE=1 SV=1	10	10	1.000	3	2	3	2	3	2	3	2	3.000	2.000	3.000	2.000
924	1	sp|P35821|PTN1_MOUSE	 	 	 	 	18.8	432	49593	Tyrosine-protein phosphatase non-receptor type 1 OS=Mus musculus GN=Ptpn1 PE=1 SV=2	14	14	1.000	3	3	3	5	3	3	3	5	3.000	3.000	3.000	5.000
925	1	sp|P35831|PTN12_MOUSE	 	 	 	 	20.4	775	86525	Tyrosine-protein phosphatase non-receptor type 12 OS=Mus musculus GN=Ptpn12 PE=1 SV=3	25	25	1.000	6	7	7	5	6	7	7	5	6.000	7.000	7.000	5.000
926	1	sp|P35922|FMR1_MOUSE	 	 	sp|P35922|FMR1_MOUSE, sp|Q61584|FXR1_MOUSE, sp|Q9WVR4|FXR2_MOUSE	 	27.4	614	68988	Synaptic functional regulator FMR1 OS=Mus musculus GN=Fmr1 PE=1 SV=1	40	30	0.750	10	9	10	11	8	6	8	8	9.471	8.190	9.271	10.222
927	1	sp|P35969|VGFR1_MOUSE	 	 	sp|P05532|KIT_MOUSE, sp|P05622|PGFRB_MOUSE, sp|P26618|PGFRA_MOUSE, sp|P35969|VGFR1_MOUSE, sp|P63085|MK01_MOUSE, sp|Q63844|MK03_MOUSE, sp|Q80Y86|MK15_MOUSE	 	1.5	1333	149874	Vascular endothelial growth factor receptor 1 OS=Mus musculus GN=Flt1 PE=1 SV=1	6	1	0.167	2	2	1	1	0	1	0	0	0.000	1.034	0.000	0.000
928	1	sp|P35979|RL12_MOUSE	 	 	 	 	67.9	165	17804	60S ribosomal protein L12 OS=Mus musculus GN=Rpl12 PE=1 SV=2	54	54	1.000	16	10	13	15	16	10	13	15	16.000	10.000	13.000	15.000
929	1	sp|P35980|RL18_MOUSE	 	 	 	 	29.8	188	21644	60S ribosomal protein L18 OS=Mus musculus GN=Rpl18 PE=1 SV=3	33	33	1.000	5	7	14	7	5	7	14	7	5.000	7.000	14.000	7.000
930	1	sp|P36371|TAP2_MOUSE	 	 	 	 	10.5	702	77444	Antigen peptide transporter 2 OS=Mus musculus GN=Tap2 PE=1 SV=1	10	10	1.000	2	2	2	4	2	2	2	4	2.000	2.000	2.000	4.000
931	1	sp|P36536|SAR1A_MOUSE	 	 	sp|P36536|SAR1A_MOUSE, sp|Q9CQC9|SAR1B_MOUSE	 	44.9	198	22371	GTP-binding protein SAR1a OS=Mus musculus GN=Sar1a PE=1 SV=1	55	43	0.782	14	15	15	11	11	12	12	8	12.435	13.500	13.636	9.263
932	1	sp|P36552|HEM6_MOUSE	 	 	 	 	12.6	443	49714	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial OS=Mus musculus GN=Cpox PE=1 SV=2	12	12	1.000	2	2	4	4	2	2	4	4	2.000	2.000	4.000	4.000
933	1	sp|P36916|GNL1_MOUSE	 	 	 	 	8.4	607	68770	Guanine nucleotide-binding protein-like 1 OS=Mus musculus GN=Gnl1 PE=1 SV=4	18	18	1.000	4	4	5	5	4	4	5	5	4.000	4.000	5.000	5.000
934	1	sp|P36993|PPM1B_MOUSE	 	 	sp|P36993|PPM1B_MOUSE, sp|P49443|PPM1A_MOUSE	 	34.1	390	42795	Protein phosphatase 1B OS=Mus musculus GN=Ppm1b PE=1 SV=1	53	30	0.566	15	14	12	12	8	8	7	7	10.154	10.087	8.346	8.346
935	1	sp|P37040|NCPR_MOUSE	 	 	 	 	55.6	678	77043	NADPH--cytochrome P450 reductase OS=Mus musculus GN=Por PE=1 SV=2	177	177	1.000	43	44	43	47	43	44	43	47	43.000	44.000	43.000	47.000
936	1	sp|P37804|TAGL_MOUSE	 	 	 	 	80.6	201	22576	Transgelin OS=Mus musculus GN=Tagln PE=1 SV=3	178	178	1.000	48	48	39	43	48	48	39	43	48.000	48.000	39.000	43.000
937	1	sp|P37889|FBLN2_MOUSE	 	 	 	 	9.8	1221	131832	Fibulin-2 OS=Mus musculus GN=Fbln2 PE=1 SV=2	20	20	1.000	6	6	3	5	6	6	3	5	6.000	6.000	3.000	5.000
938	1	sp|P38060|HMGCL_MOUSE	 	 	 	 	46.2	325	34239	Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Mus musculus GN=Hmgcl PE=1 SV=2	31	31	1.000	10	10	5	6	10	10	5	6	10.000	10.000	5.000	6.000
939	1	sp|P38585|TTL_MOUSE	 	 	 	 	10.9	377	43136	Tubulin--tyrosine ligase OS=Mus musculus GN=Ttl PE=1 SV=2	3	3	1.000	1	0	2	0	1	0	2	0	1.000	0.000	2.000	0.000
940	1	sp|P38647|GRP75_MOUSE	 	 	REV_Q6A078, sp|P17156|HSP72_MOUSE, sp|P38647|GRP75_MOUSE, sp|P63017|HSP7C_MOUSE	 	60.4	679	73460	Stress-70 protein, mitochondrial OS=Mus musculus GN=Hspa9 PE=1 SV=3	323	315	0.975	90	73	81	79	88	72	79	76	89.913	72.973	80.292	77.694
941	1	sp|P39039|MBL1_MOUSE	 	 	 	 	9.6	239	25396	Mannose-binding protein A OS=Mus musculus GN=Mbl1 PE=1 SV=1	8	8	1.000	3	2	2	1	3	2	2	1	3.000	2.000	2.000	1.000
942	1	sp|P39053|DYN1_MOUSE	 	 	sp|P39053|DYN1_MOUSE, sp|P39054|DYN2_MOUSE, sp|Q8BZ98|DYN3_MOUSE	 	25.0	867	97802	Dynamin-1 OS=Mus musculus GN=Dnm1 PE=1 SV=2	58	21	0.362	16	14	15	13	5	5	7	4	7.474	7.333	9.371	5.589
943	1	sp|P39054|DYN2_MOUSE	 	 	sp|P39053|DYN1_MOUSE, sp|P39054|DYN2_MOUSE, sp|Q8BZ98|DYN3_MOUSE	 	32.8	870	98144	Dynamin-2 OS=Mus musculus GN=Dnm2 PE=1 SV=2	110	63	0.573	28	24	27	31	16	13	16	18	24.806	20.800	24.244	28.940
944	1	sp|P39061|COIA1_MOUSE	 	 	 	 	6.3	1774	182169	Collagen alpha-1(XVIII) chain OS=Mus musculus GN=Col18a1 PE=1 SV=4	34	34	1.000	7	9	10	8	7	9	10	8	7.000	9.000	10.000	8.000
945	1	sp|P39447|ZO1_MOUSE	 	 	 	 	17.6	1745	194739	Tight junction protein ZO-1 OS=Mus musculus GN=Tjp1 PE=1 SV=2	45	45	1.000	8	10	12	15	8	10	12	15	8.000	10.000	12.000	15.000
946	1	sp|P39654|LOX15_MOUSE	 	 	 	 	33.3	663	75444	Arachidonate 15-lipoxygenase OS=Mus musculus GN=Alox15 PE=1 SV=4	35	35	1.000	7	11	8	9	7	11	8	9	7.000	11.000	8.000	9.000
